spendingType,date,amountOfMoney,description,index,spendingTypeText
"3","7/10/2016","1594","","118","INTERGOVERNMENTAL_TRANSFERS"
"6","3/21/2011","1465","","119","SPORT"
"8","2/26/2010","115","","120","UTILITIES"
"7","8/17/2010","1825","","121","TRANSPORT_ROADS_HOUSEHOLD"
"2","6/10/2015","1303","","122","GOVERNANCE"
"0","9/2/2012","1089","","123","ART"
"5","4/11/2015","668","","124","SOCIETY_DEFENCE"
"2","6/14/2014","1498","","125","GOVERNANCE"
"6","11/15/2014","973","","126","SPORT"
"4","8/19/2017","558","","127","SOCIAL_WELFARE"
"0","2/20/2018","454","","128","ART"
"7","4/17/2011","1697","","129","TRANSPORT_ROADS_HOUSEHOLD"
"1","11/13/2012","1644","","130","EDUCATION"
"8","1/21/2013","134","","131","UTILITIES"
"0","1/17/2009","1763","","132","ART"
"5","2/21/2018","99","","133","SOCIETY_DEFENCE"
"3","4/2/2015","1829","","134","INTERGOVERNMENTAL_TRANSFERS"
"6","10/6/2014","1015","","135","SPORT"
"6","6/6/2016","1530","","136","SPORT"
"0","8/21/2010","1181","","137","ART"
"7","9/17/2009","536","","138","TRANSPORT_ROADS_HOUSEHOLD"
"1","9/7/2018","168","","139","EDUCATION"
"5","1/13/2013","1454","","140","SOCIETY_DEFENCE"
"3","9/20/2011","1982","","141","INTERGOVERNMENTAL_TRANSFERS"
"2","11/3/2014","1638","","142","GOVERNANCE"
"5","3/16/2018","936","","143","SOCIETY_DEFENCE"
"6","9/6/2016","1944","","144","SPORT"
"8","10/14/2014","587","","145","UTILITIES"
"4","5/16/2016","1476","","146","SOCIAL_WELFARE"
"0","6/24/2016","317","","147","ART"
"0","4/17/2011","1694","","148","ART"
"4","8/8/2018","201","","149","SOCIAL_WELFARE"
"2","7/17/2010","1634","","150","GOVERNANCE"
"1","1/9/2011","223","","151","EDUCATION"
"8","8/4/2012","1872","","152","UTILITIES"
"5","8/26/2011","1213","","153","SOCIETY_DEFENCE"
"2","5/22/2018","1742","","154","GOVERNANCE"
"3","11/9/2015","1722","","155","INTERGOVERNMENTAL_TRANSFERS"
"1","5/17/2013","1055","","156","EDUCATION"
"0","8/18/2018","695","","157","ART"
"0","5/16/2009","376","","158","ART"
"6","4/15/2018","470","","159","SPORT"
"3","7/13/2013","999","","160","INTERGOVERNMENTAL_TRANSFERS"
"4","10/27/2010","1707","","161","SOCIAL_WELFARE"
"4","4/11/2013","460","","162","SOCIAL_WELFARE"
"2","10/3/2012","208","","163","GOVERNANCE"
"0","5/10/2011","820","","164","ART"
"6","1/21/2012","802","","165","SPORT"
"4","7/1/2013","310","","166","SOCIAL_WELFARE"
"2","6/26/2009","319","","167","GOVERNANCE"
"0","4/27/2018","1430","","168","ART"
"1","11/25/2017","668","","169","EDUCATION"
"3","4/18/2014","1104","","170","INTERGOVERNMENTAL_TRANSFERS"
"3","1/9/2014","218","","171","INTERGOVERNMENTAL_TRANSFERS"
"3","10/17/2009","1173","","172","INTERGOVERNMENTAL_TRANSFERS"
"1","7/8/2015","1442","","173","EDUCATION"
"6","6/26/2012","435","","174","SPORT"
"2","10/19/2013","845","","175","GOVERNANCE"
"0","7/15/2009","25","","176","ART"
"3","10/22/2013","143","","177","INTERGOVERNMENTAL_TRANSFERS"
"7","8/15/2016","1147","","178","TRANSPORT_ROADS_HOUSEHOLD"
"7","7/17/2011","787","","179","TRANSPORT_ROADS_HOUSEHOLD"
"7","3/12/2011","1664","","180","TRANSPORT_ROADS_HOUSEHOLD"
"7","1/7/2009","1402","","181","TRANSPORT_ROADS_HOUSEHOLD"
"1","6/22/2011","1306","","182","EDUCATION"
"3","4/22/2014","1718","","183","INTERGOVERNMENTAL_TRANSFERS"
"7","2/22/2014","1894","","184","TRANSPORT_ROADS_HOUSEHOLD"
"6","8/8/2009","674","","185","SPORT"
"6","8/25/2010","900","","186","SPORT"
"7","4/11/2017","1791","","187","TRANSPORT_ROADS_HOUSEHOLD"
"4","8/25/2014","1427","","188","SOCIAL_WELFARE"
"3","1/25/2017","1022","","189","INTERGOVERNMENTAL_TRANSFERS"
"3","3/19/2018","1897","","190","INTERGOVERNMENTAL_TRANSFERS"
"7","4/18/2012","1176","","191","TRANSPORT_ROADS_HOUSEHOLD"
"1","4/11/2012","337","","192","EDUCATION"
"6","3/26/2017","139","","193","SPORT"
"0","9/28/2011","1637","","194","ART"
"3","7/23/2010","92","","195","INTERGOVERNMENTAL_TRANSFERS"
"4","8/21/2010","1832","","196","SOCIAL_WELFARE"
"2","10/7/2015","1268","","197","GOVERNANCE"
"0","6/7/2012","1878","","198","ART"
"3","6/25/2014","247","","199","INTERGOVERNMENTAL_TRANSFERS"
"8","5/28/2013","966","","200","UTILITIES"
"8","6/14/2018","991","","201","UTILITIES"
"0","7/16/2009","735","","202","ART"
"3","11/24/2010","208","","203","INTERGOVERNMENTAL_TRANSFERS"
"2","1/1/2012","1588","","204","GOVERNANCE"
"8","4/10/2011","1651","","205","UTILITIES"
"6","8/25/2014","352","","206","SPORT"
"7","7/11/2013","1772","","207","TRANSPORT_ROADS_HOUSEHOLD"
"1","7/15/2012","926","","208","EDUCATION"
"2","8/27/2012","520","","209","GOVERNANCE"
"0","9/3/2011","841","","210","ART"
"4","7/1/2018","1021","","211","SOCIAL_WELFARE"
"0","6/5/2009","15","","212","ART"
"6","4/4/2018","969","","213","SPORT"
"8","2/16/2011","1495","","214","UTILITIES"
"0","5/3/2016","1289","","215","ART"
"3","10/2/2010","549","","216","INTERGOVERNMENTAL_TRANSFERS"
"0","11/5/2012","325","","217","ART"
"8","4/15/2009","1131","","218","UTILITIES"
"2","8/7/2013","1789","","219","GOVERNANCE"
"6","5/6/2009","1789","","220","SPORT"
"3","3/1/2018","1946","","221","INTERGOVERNMENTAL_TRANSFERS"
"6","8/2/2010","82","","222","SPORT"
"7","8/4/2009","380","","223","TRANSPORT_ROADS_HOUSEHOLD"
"7","2/18/2009","1900","","224","TRANSPORT_ROADS_HOUSEHOLD"
"0","1/21/2013","108","","225","ART"
"3","3/2/2016","316","","226","INTERGOVERNMENTAL_TRANSFERS"
"5","5/17/2012","925","","227","SOCIETY_DEFENCE"
"8","7/15/2018","1056","","228","UTILITIES"
"2","9/13/2010","175","","229","GOVERNANCE"
"2","1/28/2014","1150","","230","GOVERNANCE"
"6","1/20/2011","260","","231","SPORT"
"8","8/14/2011","1470","","232","UTILITIES"
"4","10/8/2015","317","","233","SOCIAL_WELFARE"
"4","8/22/2014","988","","234","SOCIAL_WELFARE"
"5","4/10/2017","125","","235","SOCIETY_DEFENCE"
"4","5/17/2010","370","","236","SOCIAL_WELFARE"
"3","11/20/2016","1168","","237","INTERGOVERNMENTAL_TRANSFERS"
"7","1/3/2013","1641","","238","TRANSPORT_ROADS_HOUSEHOLD"
"4","3/19/2014","35","","239","SOCIAL_WELFARE"
"3","5/14/2016","1066","","240","INTERGOVERNMENTAL_TRANSFERS"
"0","7/24/2018","1096","","241","ART"
"4","1/19/2010","266","","242","SOCIAL_WELFARE"
"2","9/5/2010","371","","243","GOVERNANCE"
"8","6/22/2011","887","","244","UTILITIES"
"0","8/14/2012","1226","","245","ART"
"1","4/15/2011","1021","","246","EDUCATION"
"1","4/17/2012","689","","247","EDUCATION"
"1","2/3/2015","848","","248","EDUCATION"
"7","4/13/2018","386","","249","TRANSPORT_ROADS_HOUSEHOLD"
"1","10/9/2009","1131","","250","EDUCATION"
"1","7/22/2012","685","","251","EDUCATION"
"3","7/10/2016","352","","252","INTERGOVERNMENTAL_TRANSFERS"
"7","6/20/2017","412","","253","TRANSPORT_ROADS_HOUSEHOLD"
"0","3/12/2016","1403","","254","ART"
"6","5/14/2014","728","","255","SPORT"
"2","11/27/2013","1160","","256","GOVERNANCE"
"1","9/18/2010","1309","","257","EDUCATION"
"6","7/5/2016","1452","","258","SPORT"
"4","11/7/2018","195","","259","SOCIAL_WELFARE"
"7","9/13/2013","1789","","260","TRANSPORT_ROADS_HOUSEHOLD"
"6","2/23/2009","469","","261","SPORT"
"1","3/19/2017","1364","","262","EDUCATION"
"1","5/16/2014","1740","","263","EDUCATION"
"0","3/23/2011","1905","","264","ART"
"7","8/11/2013","1562","","265","TRANSPORT_ROADS_HOUSEHOLD"
"0","7/18/2010","705","","266","ART"
"8","8/15/2011","493","","267","UTILITIES"
"5","6/6/2010","1867","","268","SOCIETY_DEFENCE"
"6","6/14/2018","1404","","269","SPORT"
"5","2/25/2014","105","","270","SOCIETY_DEFENCE"
"0","9/9/2012","1467","","271","ART"
"1","9/5/2014","693","","272","EDUCATION"
"1","1/13/2013","425","","273","EDUCATION"
"3","8/2/2017","348","","274","INTERGOVERNMENTAL_TRANSFERS"
"5","5/27/2016","1043","","275","SOCIETY_DEFENCE"
"0","2/7/2009","1508","","276","ART"
"7","9/14/2011","1455","","277","TRANSPORT_ROADS_HOUSEHOLD"
"8","10/24/2014","1164","","278","UTILITIES"
"5","6/6/2017","988","","279","SOCIETY_DEFENCE"
"6","2/6/2015","1816","","280","SPORT"
"2","8/9/2009","280","","281","GOVERNANCE"
"5","9/25/2014","664","","282","SOCIETY_DEFENCE"
"5","3/2/2013","134","","283","SOCIETY_DEFENCE"
"8","1/27/2015","74","","284","UTILITIES"
"3","2/21/2014","583","","285","INTERGOVERNMENTAL_TRANSFERS"
"7","3/9/2018","826","","286","TRANSPORT_ROADS_HOUSEHOLD"
"7","4/4/2009","1538","","287","TRANSPORT_ROADS_HOUSEHOLD"
"5","3/14/2012","1341","","288","SOCIETY_DEFENCE"
"5","1/27/2011","1380","","289","SOCIETY_DEFENCE"
"7","8/1/2013","172","","290","TRANSPORT_ROADS_HOUSEHOLD"
"0","9/1/2015","1373","","291","ART"
"8","4/14/2014","1404","","292","UTILITIES"
"6","1/11/2015","1727","","293","SPORT"
"8","2/20/2018","397","","294","UTILITIES"
"7","6/4/2017","274","","295","TRANSPORT_ROADS_HOUSEHOLD"
"5","2/23/2015","1883","","296","SOCIETY_DEFENCE"
"6","8/27/2014","843","","297","SPORT"
"0","6/9/2013","1614","","298","ART"
"5","2/7/2014","200","","299","SOCIETY_DEFENCE"
"8","7/18/2016","829","","300","UTILITIES"
"0","10/26/2011","662","","301","ART"
"8","2/11/2013","86","","302","UTILITIES"
"1","2/25/2009","780","","303","EDUCATION"
"6","4/14/2013","111","","304","SPORT"
"0","10/12/2013","1201","","305","ART"
"6","6/22/2015","797","","306","SPORT"
"3","6/25/2009","558","","307","INTERGOVERNMENTAL_TRANSFERS"
"1","10/20/2016","125","","308","EDUCATION"
"5","11/16/2011","1086","","309","SOCIETY_DEFENCE"
"8","7/5/2013","1833","","310","UTILITIES"
"5","5/14/2011","706","","311","SOCIETY_DEFENCE"
"3","7/5/2013","51","","312","INTERGOVERNMENTAL_TRANSFERS"
"1","1/28/2009","1924","","313","EDUCATION"
"4","4/10/2017","762","","314","SOCIAL_WELFARE"
"2","11/25/2017","1498","","315","GOVERNANCE"
"2","6/11/2011","63","","316","GOVERNANCE"
"2","10/21/2010","380","","317","GOVERNANCE"
"4","9/12/2016","678","","318","SOCIAL_WELFARE"
"8","9/9/2017","489","","319","UTILITIES"
"0","1/28/2012","921","","320","ART"
"3","1/6/2009","195","","321","INTERGOVERNMENTAL_TRANSFERS"
"1","4/18/2010","82","","322","EDUCATION"
"4","2/19/2018","934","","323","SOCIAL_WELFARE"
"7","3/10/2011","1404","","324","TRANSPORT_ROADS_HOUSEHOLD"
"8","8/16/2013","195","","325","UTILITIES"
"0","11/12/2012","689","","326","ART"
"5","1/19/2014","1187","","327","SOCIETY_DEFENCE"
"2","5/14/2018","196","","328","GOVERNANCE"
"1","2/12/2011","1787","","329","EDUCATION"
"2","8/4/2017","291","","330","GOVERNANCE"
"6","8/8/2012","174","","331","SPORT"
"2","9/2/2018","1633","","332","GOVERNANCE"
"3","11/6/2014","158","","333","INTERGOVERNMENTAL_TRANSFERS"
"8","4/17/2016","1427","","334","UTILITIES"
"1","2/27/2013","454","","335","EDUCATION"
"8","4/2/2010","51","","336","UTILITIES"
"1","4/13/2011","1598","","337","EDUCATION"
"8","10/8/2010","1758","","338","UTILITIES"
"5","4/23/2010","182","","339","SOCIETY_DEFENCE"
"7","5/13/2016","94","","340","TRANSPORT_ROADS_HOUSEHOLD"
"6","9/28/2015","649","","341","SPORT"
"4","6/6/2010","197","","342","SOCIAL_WELFARE"
"5","5/25/2012","1496","","343","SOCIETY_DEFENCE"
"3","1/15/2016","542","","344","INTERGOVERNMENTAL_TRANSFERS"
"8","7/1/2018","444","","345","UTILITIES"
"6","3/7/2015","1661","","346","SPORT"
"6","1/3/2011","365","","347","SPORT"
"8","9/13/2012","1005","","348","UTILITIES"
"4","4/17/2018","1016","","349","SOCIAL_WELFARE"
"5","5/21/2017","214","","350","SOCIETY_DEFENCE"
"6","6/10/2017","683","","351","SPORT"
"4","10/17/2014","1491","","352","SOCIAL_WELFARE"
"1","8/3/2009","764","","353","EDUCATION"
"1","2/24/2012","1023","","354","EDUCATION"
"2","4/25/2015","242","","355","GOVERNANCE"
"7","6/25/2013","336","","356","TRANSPORT_ROADS_HOUSEHOLD"
"4","8/3/2009","200","","357","SOCIAL_WELFARE"
"6","3/25/2012","1322","","358","SPORT"
"1","11/1/2009","273","","359","EDUCATION"
"0","6/22/2016","1259","","360","ART"
"3","1/24/2018","1134","","361","INTERGOVERNMENTAL_TRANSFERS"
"5","11/9/2014","933","","362","SOCIETY_DEFENCE"
"5","8/28/2015","1036","","363","SOCIETY_DEFENCE"
"4","6/16/2016","1338","","364","SOCIAL_WELFARE"
"8","4/21/2009","881","","365","UTILITIES"
"7","3/1/2010","1929","","366","TRANSPORT_ROADS_HOUSEHOLD"
"3","5/27/2015","620","","367","INTERGOVERNMENTAL_TRANSFERS"
"2","1/12/2010","1708","","368","GOVERNANCE"
"5","4/8/2010","1627","","369","SOCIETY_DEFENCE"
"6","5/8/2015","1675","","370","SPORT"
"5","11/22/2012","1689","","371","SOCIETY_DEFENCE"
"2","7/2/2011","374","","372","GOVERNANCE"
"5","3/1/2017","1401","","373","SOCIETY_DEFENCE"
"1","5/2/2012","1154","","374","EDUCATION"
"6","9/18/2014","693","","375","SPORT"
"6","6/24/2013","1816","","376","SPORT"
"6","6/14/2013","1156","","377","SPORT"
"3","1/2/2018","797","","378","INTERGOVERNMENTAL_TRANSFERS"
"1","3/15/2009","1274","","379","EDUCATION"
"4","8/16/2014","1477","","380","SOCIAL_WELFARE"
"4","7/19/2018","898","","381","SOCIAL_WELFARE"
"8","6/5/2015","1999","","382","UTILITIES"
"6","10/9/2012","816","","383","SPORT"
"4","1/1/2012","1509","","384","SOCIAL_WELFARE"
"5","10/21/2011","365","","385","SOCIETY_DEFENCE"
"7","2/27/2015","1814","","386","TRANSPORT_ROADS_HOUSEHOLD"
"5","2/6/2010","305","","387","SOCIETY_DEFENCE"
"0","4/25/2018","1102","","388","ART"
"4","3/26/2012","1451","","389","SOCIAL_WELFARE"
"0","3/2/2013","649","","390","ART"
"5","8/1/2009","1876","","391","SOCIETY_DEFENCE"
"3","9/10/2009","1323","","392","INTERGOVERNMENTAL_TRANSFERS"
"7","2/16/2013","28","","393","TRANSPORT_ROADS_HOUSEHOLD"
"4","9/12/2013","1880","","394","SOCIAL_WELFARE"
"4","10/16/2011","457","","395","SOCIAL_WELFARE"
"0","4/20/2014","1330","","396","ART"
"6","4/22/2009","1496","","397","SPORT"
"4","4/11/2013","1427","","398","SOCIAL_WELFARE"
"2","10/13/2016","251","","399","GOVERNANCE"
"5","7/7/2015","867","","400","SOCIETY_DEFENCE"
"0","5/8/2015","1646","","401","ART"
"8","2/16/2018","1851","","402","UTILITIES"
"6","3/26/2018","710","","403","SPORT"
"0","8/5/2017","625","","404","ART"
"7","8/19/2016","1179","","405","TRANSPORT_ROADS_HOUSEHOLD"
"0","9/23/2009","1980","","406","ART"
"5","4/6/2010","793","","407","SOCIETY_DEFENCE"
"8","3/16/2011","262","","408","UTILITIES"
"4","9/26/2016","60","","409","SOCIAL_WELFARE"
"1","6/25/2012","537","","410","EDUCATION"
"0","1/22/2010","74","","411","ART"
"8","2/20/2011","421","","412","UTILITIES"
"7","9/22/2015","1645","","413","TRANSPORT_ROADS_HOUSEHOLD"
"3","6/22/2015","450","","414","INTERGOVERNMENTAL_TRANSFERS"
"7","6/12/2017","1956","","415","TRANSPORT_ROADS_HOUSEHOLD"
"6","10/5/2017","1813","","416","SPORT"
"1","2/8/2010","36","","417","EDUCATION"
"0","11/7/2013","1623","","418","ART"
"3","8/21/2015","342","","419","INTERGOVERNMENTAL_TRANSFERS"
"0","11/13/2014","1484","","420","ART"
"2","10/5/2011","1693","","421","GOVERNANCE"
"4","7/8/2016","1898","","422","SOCIAL_WELFARE"
"6","5/15/2014","309","","423","SPORT"
"8","4/7/2018","1748","","424","UTILITIES"
"7","4/26/2010","1063","","425","TRANSPORT_ROADS_HOUSEHOLD"
"6","4/24/2015","890","","426","SPORT"
"6","11/12/2017","1826","","427","SPORT"
"1","3/17/2016","1093","","428","EDUCATION"
"4","10/23/2013","1921","","429","SOCIAL_WELFARE"
"4","6/18/2011","1212","","430","SOCIAL_WELFARE"
"7","10/28/2016","1142","","431","TRANSPORT_ROADS_HOUSEHOLD"
"4","2/22/2018","94","","432","SOCIAL_WELFARE"
"3","3/5/2011","530","","433","INTERGOVERNMENTAL_TRANSFERS"
"3","9/21/2014","1949","","434","INTERGOVERNMENTAL_TRANSFERS"
"2","2/10/2009","385","","435","GOVERNANCE"
"3","11/27/2015","696","","436","INTERGOVERNMENTAL_TRANSFERS"
"1","4/11/2010","559","","437","EDUCATION"
"5","9/8/2015","1937","","438","SOCIETY_DEFENCE"
"6","4/7/2016","1871","","439","SPORT"
"1","10/16/2009","1294","","440","EDUCATION"
"3","3/14/2018","1322","","441","INTERGOVERNMENTAL_TRANSFERS"
"8","4/13/2016","1947","","442","UTILITIES"
"5","9/8/2012","441","","443","SOCIETY_DEFENCE"
"7","3/22/2012","1660","","444","TRANSPORT_ROADS_HOUSEHOLD"
"1","9/24/2016","1812","","445","EDUCATION"
"5","8/16/2012","2","","446","SOCIETY_DEFENCE"
"3","10/25/2014","1045","","447","INTERGOVERNMENTAL_TRANSFERS"
"1","6/6/2016","1672","","448","EDUCATION"
"2","6/9/2017","1177","","449","GOVERNANCE"
"1","7/22/2017","120","","450","EDUCATION"
"8","8/10/2016","1657","","451","UTILITIES"
"6","4/16/2014","755","","452","SPORT"
"5","2/18/2015","1188","","453","SOCIETY_DEFENCE"
"4","11/25/2011","386","","454","SOCIAL_WELFARE"
"3","4/5/2016","1694","","455","INTERGOVERNMENTAL_TRANSFERS"
"0","11/23/2016","492","","456","ART"
"8","2/1/2015","788","","457","UTILITIES"
"0","3/10/2016","500","","458","ART"
"6","1/15/2015","1534","","459","SPORT"
"0","7/23/2011","42","","460","ART"
"8","10/26/2014","112","","461","UTILITIES"
"0","7/25/2011","736","","462","ART"
"4","11/6/2014","1181","","463","SOCIAL_WELFARE"
"2","6/25/2011","1984","","464","GOVERNANCE"
"5","4/11/2012","432","","465","SOCIETY_DEFENCE"
"2","7/27/2015","1559","","466","GOVERNANCE"
"8","5/2/2014","1962","","467","UTILITIES"
"7","6/25/2011","344","","468","TRANSPORT_ROADS_HOUSEHOLD"
"7","2/5/2018","1577","","469","TRANSPORT_ROADS_HOUSEHOLD"
"7","6/23/2017","265","","470","TRANSPORT_ROADS_HOUSEHOLD"
"7","9/2/2013","316","","471","TRANSPORT_ROADS_HOUSEHOLD"
"0","6/4/2016","1570","","472","ART"
"5","4/12/2009","41","","473","SOCIETY_DEFENCE"
"2","5/9/2009","1970","","474","GOVERNANCE"
"3","7/24/2009","1901","","475","INTERGOVERNMENTAL_TRANSFERS"
"8","3/7/2014","800","","476","UTILITIES"
"4","3/2/2010","1877","","477","SOCIAL_WELFARE"
"1","5/1/2009","769","","478","EDUCATION"
"8","8/18/2010","184","","479","UTILITIES"
"4","8/18/2015","209","","480","SOCIAL_WELFARE"
"4","8/11/2013","993","","481","SOCIAL_WELFARE"
"8","9/23/2017","1763","","482","UTILITIES"
"0","6/14/2011","1480","","483","ART"
"8","1/13/2013","631","","484","UTILITIES"
"7","10/17/2010","1345","","485","TRANSPORT_ROADS_HOUSEHOLD"
"8","8/10/2009","1315","","486","UTILITIES"
"3","4/22/2009","263","","487","INTERGOVERNMENTAL_TRANSFERS"
"5","6/27/2016","1203","","488","SOCIETY_DEFENCE"
"7","9/3/2016","1042","","489","TRANSPORT_ROADS_HOUSEHOLD"
"8","8/27/2009","1558","","490","UTILITIES"
"3","6/14/2009","577","","491","INTERGOVERNMENTAL_TRANSFERS"
"7","4/17/2014","1773","","492","TRANSPORT_ROADS_HOUSEHOLD"
"7","8/23/2014","409","","493","TRANSPORT_ROADS_HOUSEHOLD"
"5","7/20/2010","1271","","494","SOCIETY_DEFENCE"
"5","6/10/2013","1181","","495","SOCIETY_DEFENCE"
"0","3/13/2012","1336","","496","ART"
"0","11/27/2013","1970","","497","ART"
"2","1/9/2014","915","","498","GOVERNANCE"
"4","8/23/2016","1683","","499","SOCIAL_WELFARE"
"4","4/23/2016","1103","","500","SOCIAL_WELFARE"
"0","4/15/2018","400","","501","ART"
"6","4/20/2016","947","","502","SPORT"
"8","1/3/2013","1786","","503","UTILITIES"
"6","9/22/2009","1752","","504","SPORT"
"3","5/2/2010","1796","","505","INTERGOVERNMENTAL_TRANSFERS"
